CleanName_version3,CleanTitle_version3,first_appearance,last_appearance,count,dpoh_name_raw
Terry Faubert,Executive Director,2024-10-28,2025-01-28,3,Terry Faubert
Terry Guillon,"Lead, Media Advance",2018-08-09,2024-09-11,7,Terry Guillon
Terry Harder,Assistant Director,2011-09-08,2011-09-08,1,Terry Harder
Terry Hatton,Director General,2021-11-22,2024-05-14,10,"Terry  Hatton, Terry Hatton"
Terry Homma,Director General,2013-03-11,2018-12-05,11,Terry Homma
Terry Hubbard,President,2012-10-18,2025-02-12,60,"Terry  Hubbard , Terry Hubbard, terr Hubbard"
Terry Jamieson,Vice President,2008-11-27,2016-10-19,6,Terry Jamieson
Terry Jeans,Director of Operations,2024-07-04,2024-08-13,3,"Terry  Jeans, Terry Jeans"
Terry Long,Parliamentary Assistant,2015-05-15,2015-05-15,1,Terry Long
Terry Mcauley,Assistant Commissioner,2010-05-26,2012-03-05,6,Terry McAuley
Terry Mercer,Senator,2010-09-27,2022-02-01,320,"Hon. Terry Mercer, Hon. Terry Mercer, P.C., Honourable Terry M. Mercer, Honourable Terry Mercer, SENATOR TERRY MERCER, Senator Terry Mercer, Terry M. Mercer, Terry Mercer, Terry Mercer, P.C., The Hon. Terry Mercer, The Honourable Senator Terry Mercer, terry mercer"
Terry Miszaniec,"Manager, Income Tax Legislative Amendments",2009-02-05,2009-02-05,1,Terry Miszaniec
Terry Rudeen,Special Advisor,2010-11-02,2010-11-02,1,Terry Rudeen
Terry Sheehan,Member of Parliament,2015-12-09,2025-06-05,185,"TERRY SHEEHAN, Terry Sheehan, Terry Shehan, Terry sheehan, terry sheehan"
Terry Speed,Canadian Coast Guard,2024-08-14,2024-08-14,1,Terry Speed
Terry Stechysin,"Director, Trade Negotiations and Investments",2024-06-25,2024-06-25,1,Terry Stechysin
Terry Stratton,Senator,2011-10-25,2011-10-25,1,Terry Stratton
Terry Williston,Director General,2008-12-18,2012-06-11,3,"Mr. Terry Williston, Terry Williston"
Terry Wood,"Director General, Major Project Delivery",2018-07-16,2018-07-18,3,Terry Wood
Terry-lynn Mcdonald,Special Advisor,2014-12-10,2014-12-10,1,Terry-Lynn McDonald
Teshome Nkrumah,Deputy Director,2017-10-19,2024-09-23,2,Teshome Nkrumah
